,0
0,-101.64625656639728
1,-98.35239219960233
2,-102.17442778828635
3,-101.6431016651436
4,-101.5727014475064
5,-101.13301557982479
6,-100.41975748133882
7,-102.50461864220892
8,-100.97341326246314
9,-100.79416128009748
10,-102.51365734615999
11,-102.0789396490695
12,-99.90280170218068
13,-102.00676896271094
14,-100.28409831988634
15,-103.40375514524544
16,-103.89010166868266
17,-101.91720399583977
18,-103.83128970911449
19,-99.34411431262964
20,-101.96817946135647
21,-99.15129909198964
22,-101.60926747889488
23,-99.53969974161734
24,-99.838299707678
25,-102.39631159969971
26,-100.55475733441907
27,-99.64801321751108
28,-100.5194502417238
29,-101.23128209490076
30,-101.79457958823988
31,-100.40076911687567
32,-102.60802059050602
33,-101.86547715045208
34,-101.96813607318555
35,-101.41297108777621
36,-103.45689418077788
37,-102.31683393260829
38,-100.12435602211545
39,-102.9165286304522
40,-105.2800641680395
41,-101.9439276018642
42,-104.20474945781135
43,-101.19013955596691
44,-102.25625472934934
45,-101.60655434784672
46,-101.64978504098195
47,-103.34886721542867
48,-102.10895888591605
49,-105.05128427707209
50,-102.1489973987108
51,-99.37430193310371
52,-101.31298690181976
53,-103.86507598600576
54,-101.505862907204
55,-98.39073238563962
56,-100.68155521889923
57,-99.17797980080547
58,-106.568264399545
59,-105.43385762232731
60,-103.50018541640651
61,-102.42054921103022
62,-103.27816678111418
63,-100.17575108749767
64,-100.9379848685821
65,-102.0553883765873
66,-101.26507146586337
67,-98.8254054613442
68,-105.86670472815334
69,-101.67137144654257
70,-101.96241159594328
71,-101.09823399761592
72,-100.75408666551712
73,-101.41295774181549
74,-103.72114321465511
75,-103.11377210082259
76,-101.3757924949457
77,-97.83272262860385
78,-103.48142464755296
79,-100.80852178474231
80,-102.32951032253573
81,-98.34081689343118
82,-102.7168801898087
83,-101.41601407856584
84,-101.93034019052564
85,-101.54685911470631
86,-101.23649457940164
87,-102.18056724309668
88,-105.50038067575693
89,-99.70534980128218
90,-101.04500656281755
91,-98.74797819409302
92,-103.12313882285503
93,-102.69324251423271
94,-100.4838384604142
95,-101.55560917263145
96,-102.62501626122048
97,-102.71323945737979
98,-100.18489280421949
99,-104.12958383222357
100,-103.35784325420917
101,-99.89745830006211
102,-104.01505724198239
103,-103.18267049380071
104,-103.4891683394051
105,-102.14497773092549
106,-100.52276229442143
107,-104.52023811446699
108,-102.37410707416944
109,-101.21335020795911
110,-100.7769781381675
111,-104.46572725355861
112,-101.56971344963026
113,-102.13029515982774
114,-102.45233428420767
115,-103.67918139055129
116,-102.52546522784618
117,-100.2298036572941
118,-102.3701726117709
119,-101.89418427214466
120,-102.16624209113283
121,-102.90998365115738
122,-100.67355460451904
123,-100.29920725796549
124,-99.68403870577575
125,-100.83453072942274
126,-97.66394420606
127,-102.55373663342851
128,-100.94950621273821
129,-100.30374059887819
130,-99.5262117492388
131,-100.8878424585769
132,-100.48566422680943
133,-100.897901986958
134,-101.81140042585076
135,-102.17365480528224
136,-103.82002203856783
137,-106.14383394445855
138,-98.88515780306456
139,-100.59198880593914
140,-102.62238785057079
141,-100.11808753091503
142,-104.0257641331369
143,-100.50128082185125
144,-103.14224898214852
145,-102.67071615559937
146,-103.49113927376462
147,-98.50310043748917
148,-100.57654354623148
149,-102.93720027508601
150,-99.43931861790642
151,-98.48567582558981
152,-101.2676003705044
153,-102.36316025813633
154,-98.94473794967995
155,-99.15676264640484
156,-98.78264607900164
157,-101.45269938294064
158,-102.74845438574218
159,-100.37624195108228
160,-104.08014840533494
161,-101.62933048369993
162,-102.50641523433
163,-100.92401244685195
164,-102.4851762194406
165,-105.04971741878421
166,-101.7025070640747
167,-100.43532986413945
168,-101.59629201583277
169,-101.68643152350816
170,-101.97916068549256
171,-102.0631189098099
172,-98.76096066556735
173,-100.14023765918608
174,-101.71283509004289
175,-102.95513722067722
176,-103.35523647056897
177,-103.3522321114884
178,-101.95675486870124
179,-105.11012547314479
180,-101.14085422327554
181,-101.85800756950653
182,-103.18032991884428
183,-103.92155224329645
184,-101.54474660825952
185,-103.84793401719006
186,-101.68641598746697
187,-102.99722615017617
188,-97.53117147823644
189,-98.32990773544617
190,-104.82277771455273
191,-99.59901398636211
192,-102.7156966040919
193,-100.88513125931047
194,-100.39484819638542
195,-101.4199232363203
196,-104.61472261672316
197,-102.2709660650153
198,-104.49904890215876
199,-102.92457906285776
200,-101.94952117909713
201,-101.97207257283557
202,-100.51017305740353
203,-97.14164520268605
204,-101.56073316154601
205,-102.23857126791734
206,-104.0828203809375
207,-102.79533826585896
208,-103.7985876625495
209,-104.61814729996817
210,-104.83320206392168
211,-103.60686429808814
212,-99.87542034157215
213,-101.2153129673539
214,-100.44469882638722
215,-104.00178358186486
216,-103.44844483700908
217,-101.22716716993853
218,-102.26563545036291
219,-103.5326029994958
220,-103.7295790644246
221,-100.42719680325067
222,-103.07964191105594
223,-103.52112321166268
224,-98.77516727099311
225,-99.65043434071404
226,-101.64198145578422
227,-100.52303185476401
228,-104.12000726569292
229,-103.01876400552473
230,-102.98233504886369
231,-103.30778805414641
232,-101.13511665347215
233,-100.57066772885659
234,-102.53901046760717
235,-101.54483757882807
236,-104.76687284852488
237,-102.61813477953513
238,-101.41300820376105
239,-103.89935650720363
240,-101.38346724515509
241,-100.24114934129233
242,-103.3806116218712
243,-101.81510787866895
244,-100.75258014154787
245,-102.8723765268324
246,-105.75614735876039
247,-100.6761483332613
248,-103.43502404743458
249,-103.26244038999789
250,-99.7738924824182
251,-103.77247819443713
252,-101.76646409966261
253,-99.82602996920974
254,-102.11239589344731
255,-100.95667287264831
256,-100.2227552179528
257,-99.3390267556299
258,-100.38202191757941
259,-101.61616654240291
260,-102.6149651319783
261,-99.43718855849673
262,-102.99713628538632
263,-99.59493376598962
264,-100.22186077205907
265,-102.98403969665549
266,-104.1636296722543
267,-105.86603895170077
268,-102.67014806210588
269,-101.8407526220156
270,-99.44192881427267
271,-102.21783738613911
272,-100.2611631880234
273,-102.01058622393506
274,-102.45468137792676
275,-103.72995770504724
276,-101.09930982170545
277,-106.16576810861432
278,-106.69547737080632
279,-103.67846881352875
